current_time,request_id,agent_type,speak_duration,asr_duration,tts_req_duration,total_duration,llm_generation_time,speech_generation_time,llm_client_name
1724217362,761850,Agent1,1.546165,0.0968399,1.308289,1.41906,531.14,763.071,llamafile_llama3
1724217376,720656,Agent1,1.880463,0.09127045,1.467133,1.57267,672.635,782.812,llamafile_llama3
1724217448,781442,Agent2,1.560226,0.08692932,1.152847,1.253708,383.256,756.603,llamafile_llama3
1724217463,912757,Agent2,2.145615,0.07102966,1.40416,1.489197,307.005,1091.831,llamafile_llama3
1724217474,834584,Agent2,2.145935,0.07215881,1.149521,1.236038,349.931,786.721,llamafile_llama3
1724217487,278734,Agent2,2.895554,0.08761597,1.261566,1.363083,363.557,894.128,llamafile_llama3
1724217500,221413,Agent2,1.809967,0.07040405,1.126968,1.211578,301.683,812.233,llamafile_llama3
1724217514,935162,Agent2,3.966995,0.08488464,1.7668,1.865829,599.771,1159.886,llamafile_llama3
1724217554,681240,Agent3,1.535828,0.1392822,1.112854,1.27951,370.377,732.827,llamafile_llama3
1724217576,840059,Agent3,6.166138,0.1135559,1.057465,1.197571,319.295,728.033,llamafile_llama3
1724217591,299179,Agent3,2.355865,0.1096802,1.089935,1.228699,406.379,663.966,llamafile_llama3
1724217610,322985,Agent3,2.80072,0.09796143,0.9353943,1.058777,274.773,645.108,llamafile_llama3
1724217625,313191,Agent3,3.73111,0.1091309,1.060699,1.197388,368.505,686.579,llamafile_llama3
1724217643,299066,Agent3,1.53009,0.1105652,1.284302,1.421478,428.915,840.775,llamafile_llama3
1724218088,663967,Agent1,1.755295,0.08840275,1.290318,1.46193,549.728,729.814,llamafile_llama3
1724218102,588466,Agent1,2.198982,0.1120243,1.252663,1.377798,524.579,719.247,llamafile_llama3
1724218117,133067,Agent1,2.008629,0.06970978,1.700497,1.784077,687.952,1003.049,llamafile_llama3
1724218136,754704,Agent1,3.452343,0.09763718,1.82357,1.935284,896.257,917.501,llamafile_llama3
1724218160,713766,Agent1,2.11483,0.0867157,1.793365,1.89415,938.596,848.335,llamafile_llama3
1724218186,862275,Agent1,1.517677,0.0835495,2.338669,2.436035,1200.465,1128.92,llamafile_llama3
1724218216,815878,Agent1,1.32283,0.0849762,1.836487,1.93541,1019.829,801.406,llamafile_llama3
1724218283,621435,Agent2,1.36293,0.08383179,1.402161,1.500565,411.716,977.413,llamafile_llama3
1724218299,238657,Agent2,1.962769,0.06991577,1.545364,1.628845,348.156,1192.394,llamafile_llama3
1724218322,80704,Agent2,1.561829,0.08325195,1.447189,1.544983,406.442,1034.503,llamafile_llama3
1724218348,514373,Agent2,1.851532,0.08303833,1.323853,1.421051,393.067,921.699,llamafile_llama3
1724218363,941664,Agent2,2.88266,0.07409668,1.121765,1.209808,327.538,780.65,llamafile_llama3
1724218378,115652,Agent2,2.644226,0.08895874,1.080017,1.182312,301.131,775.096,llamafile_llama3
1724218391,842016,Agent2,2.963013,0.07644653,1.88562,1.976379,710.816,1159.517,llamafile_llama3
1724218415,784988,Agent2,3.025543,0.08358765,1.458221,1.558441,453.516,1000.955,llamafile_llama3
1724218456,892476,Agent3,1.588043,0.114624,1.164215,1.306549,389.365,757.53,llamafile_llama3
1724218484,579729,Agent3,3.755585,0.111969,1.238861,1.379791,441.796,786.563,llamafile_llama3
1724218509,452258,Agent3,9.384521,0.141571,1.341034,1.506531,587.056,719.746,llamafile_llama3
1724218531,254488,Agent3,1.725433,0.08361816,1.029541,1.168274,308.803,662.448,llamafile_llama3
1724218546,991694,Agent3,2.563446,0.08166504,1.312531,1.44455,489.613,792.327,llamafile_llama3
1724218569,775186,Agent3,3.286591,0.1144409,1.111725,1.280457,423.432,663.283,llamafile_llama3
1724218585,708051,Agent3,1.525848,0.111969,1.140198,1.280823,417.468,710.264,llamafile_llama3
1724218633,989024,Agent2,5.376221,0.1018677,1.833557,1.950439,629.621,1191.946,llamafile_llama3
1724218715,209261,Agent1,1.225628,0.1657591,1.059501,1.240811,294.682,758.795,llamafile_llama3
1724218728,720949,Agent1,1.281137,0.127533,1.071337,1.210876,367.78,688.704,llamafile_llama3
1724218781,503346,Agent1,2.214409,0.1402664,1.168068,1.322548,414.316,749.315,llamafile_llama3
1724218801,702401,Agent1,3.257553,0.1687012,1.265053,1.447662,500.92,754.24,llamafile_llama3
1724218821,381780,Agent1,1.281425,0.1520691,1.045265,1.210403,354.204,687.233,llamafile_llama3
1724218908,289486,Agent2,2.840683,0.1674957,0.986557,1.168579,298.456,683.019,llamafile_llama3
1724218921,33656,Agent2,3.118393,0.1526642,1.058548,1.225754,364.355,683.079,llamafile_llama3
1724218938,979840,Agent2,2.730225,0.1522369,1.098526,1.264633,421.771,671.378,llamafile_llama3
1724218954,678322,Agent2,1.948792,0.1386414,0.9625549,1.115356,334.941,617.896,llamafile_llama3
1724218968,200880,Agent2,1.895325,0.1216736,1.197357,1.333435,492.348,689.101,llamafile_llama3
1724218986,65572,Agent2,1.809235,0.1273193,1.736786,1.877991,761.311,959.193,llamafile_llama3
1724219088,323165,Agent1,4.887909,0.1698608,1.388824,1.573212,578.01,806.11,llamafile_llama3
1724219111,98859,Agent1,2.032227,0.1615601,1.411255,1.586914,639.586,768.564,llamafile_llama3
1724219166,712820,Agent3,18.37665,0.2083435,1.547089,1.768799,375.317,1162.864,llamafile_llama3
1724219177,196357,Agent3,1.532379,0.1393433,1.516724,1.670135,426.399,1075.996,llamafile_llama3
1724219190,677061,Agent3,1.14328,0.1397095,1.269012,1.422974,356.824,898.045,llamafile_llama3
1724219202,464193,Agent3,1.698303,0.141571,1.209686,1.365387,350.439,848.256,llamafile_llama3
1724219212,12422,Agent3,1.921661,0.1545105,1.414246,1.596436,420.552,987.741,llamafile_llama3
1724219247,845288,Agent3,2.645996,0.1393433,1.562988,1.715393,500.625,1055.222,llamafile_llama3
1724219260,523798,Agent3,1.768921,0.1273193,1.628174,1.769165,467.134,1146.26,llamafile_llama3
1724219279,194175,Agent3,1.561584,0.1514282,1.88031,2.045471,681.685,1186.707,llamafile_llama3
1724219306,245753,Agent3,1.029724,0.1394653,1.364502,1.518372,412.963,938.056,llamafile_llama3
1724219317,848951,Agent3,2.616272,0.1390991,1.281799,1.434998,362.423,903.727,llamafile_llama3
1724219336,34011,Agent3,2.854614,0.18396,2.87915,3.077026,486.165,2382.726,llamafile_llama3
1724219349,611498,Agent3,1.269165,0.1245728,1.365662,1.504333,481.39,877.858,llamafile_llama3
1724219363,298562,Agent3,3.14624,0.1546021,1.210449,1.377869,320.044,877.517,llamafile_llama3
1724219379,750678,Agent3,2.660522,0.1389771,1.744995,1.897766,506.609,1224.285,llamafile_llama3
1724219393,743840,Agent3,1.726929,0.1254272,1.475342,1.615051,513.151,955.151,llamafile_llama3
1724219520,210821,Agent1,4.154527,0.2052078,1.519401,1.738923,402.163,1112.236,llamafile_llama3
1724219548,488699,Agent1,1.28336,0.1696281,1.563221,1.760563,424.421,1116.499,llamafile_llama3
1724219561,201778,Agent1,2.626369,0.1406288,1.267567,1.422104,361.858,900.304,llamafile_llama3
1724219571,492035,Agent1,1.140854,0.1272659,1.683285,1.82312,583.889,1081.934,llamafile_llama3
1724219587,441181,Agent1,1.375549,0.1257858,2.390923,2.545135,769.49,1592.221,llamafile_llama3
1724219671,3983,Agent2,1.433304,0.156723,1.944962,2.115479,414.965,1518.516,llamafile_llama3
1724219687,659733,Agent2,1.81041,0.1406403,2.212234,2.366776,555.037,1652.024,llamafile_llama3
1724219705,617764,Agent2,1.698975,0.1432343,2.669998,2.827927,708.85,1948.274,llamafile_llama3
1724219729,250085,Agent2,2.380585,0.1546021,4.106049,4.274536,1284.509,2816.498,llamafile_llama3
1724219769,665038,Agent2,2.77005,0.1803589,1.90979,2.10376,579.427,1319.631,llamafile_llama3
1724219785,637276,Agent2,2.060394,0.1410217,2.460907,2.616211,745.765,1704.249,llamafile_llama3
1724219807,168652,Agent2,1.573792,0.1382751,1.421051,1.572693,451.771,961.73,llamafile_llama3
1724219840,628015,Agent3,1.141479,0.1386719,1.405731,1.559784,549.532,844.149,llamafile_llama3
1724219862,684655,Agent3,1.293335,0.1582336,1.485168,1.657074,620.549,858.885,llamafile_llama3
1724219891,386801,Agent3,2.687531,0.1664429,1.991425,2.171021,972.261,1015.416,llamafile_llama3
1724219928,793178,Agent3,1.419891,0.1530151,2.046356,2.213715,956.754,1079.637,llamafile_llama3
1724219963,117785,Agent3,1.155396,0.1410217,1.320496,1.475342,539.864,772.668,llamafile_llama3
1724219982,117364,Agent3,1.182617,0.1554871,2.614075,2.783508,1398.217,1201.03,llamafile_llama3
1724220034,837256,Agent3,1.531738,0.1397705,1.85083,2.005249,879.724,956.331,llamafile_llama3
1724220511,675168,Agent3,3.490238,0.1734619,1.434166,1.618017,554.289,872.746,llamafile_llama3
1724220585,773336,Agent3,3.187223,0.1906071,1.313225,1.51911,518.659,782.211,llamafile_llama3
